Time,Mem,CPU,Labels,Annotations
11:08:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:08:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:09:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:09:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:09:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:10:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:10:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:10:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:11:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:11:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:11:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:12:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:12:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:12:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:13:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:13:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:13:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:14:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:14:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:14:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:15:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:15:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:15:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:16:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:16:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:16:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:17:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:17:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:17:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:18:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:18:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:18:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:19:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:19:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:19:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:20:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:20:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:20:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:21:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:21:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:21:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:22:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:22:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:22:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:23:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:23:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:23:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:24:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:24:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:24:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:25:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:25:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:25:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:26:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:26:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:26:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
11:27:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
11:27:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
11:27:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
