Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,2b65affdd000-2b65affde000,r--p,00008000,fd:00,546549,['/usr/lib64/libmunge.so.2.0.0']
2022-01-31,20:21:01,7389,2b65affde000-2b65affdf000,rw-p,00009000,fd:00,546549,['/usr/lib64/libmunge.so.2.0.0']
2022-01-31,20:21:01,7389,2b65affdf000-2b65affe0000,r-xp,00000000,fd:00,9381808,['/usr/lib64/slurm/acct_gather_energy_none.so']
2022-01-31,20:21:01,7389,2b65affe0000-2b65b01df000,---p,00001000,fd:00,9381808,['/usr/lib64/slurm/acct_gather_energy_none.so']
2022-01-31,20:21:01,7389,2b65b01df000-2b65b01e0000,r--p,00000000,fd:00,9381808,['/usr/lib64/slurm/acct_gather_energy_none.so']
2022-01-31,20:21:01,7389,2b65b01e0000-2b65b01e1000,rw-p,00001000,fd:00,9381808,['/usr/lib64/slurm/acct_gather_energy_none.so']
2022-01-31,20:21:01,7389,2b65b01e1000-2b65b01e2000,r-xp,00000000,fd:00,9381815,['/usr/lib64/slurm/acct_gather_profile_none.so']
2022-01-31,20:21:01,7389,2b65b01e2000-2b65b03e2000,---p,00001000,fd:00,9381815,['/usr/lib64/slurm/acct_gather_profile_none.so']
2022-01-31,20:21:01,7389,2b65b03e2000-2b65b03e3000,r--p,00001000,fd:00,9381815,['/usr/lib64/slurm/acct_gather_profile_none.so']
2022-01-31,20:21:01,7389,2b65b03e3000-2b65b03e4000,rw-p,00002000,fd:00,9381815,['/usr/lib64/slurm/acct_gather_profile_none.so']
2022-01-31,20:21:01,7389,2b65b03e4000-2b65b03e5000,r-xp,00000000,fd:00,9381814,['/usr/lib64/slurm/acct_gather_interconnect_none.so']
2022-01-31,20:21:01,7389,2b65b03e5000-2b65b05e4000,---p,00001000,fd:00,9381814,['/usr/lib64/slurm/acct_gather_interconnect_none.so']
2022-01-31,20:21:01,7389,2b65b05e4000-2b65b05e5000,r--p,00000000,fd:00,9381814,['/usr/lib64/slurm/acct_gather_interconnect_none.so']
2022-01-31,20:21:01,7389,2b65b05e5000-2b65b05e6000,rw-p,00001000,fd:00,9381814,['/usr/lib64/slurm/acct_gather_interconnect_none.so']
2022-01-31,20:21:01,7389,2b65b05e6000-2b65b05e7000,r-xp,00000000,fd:00,9381813,['/usr/lib64/slurm/acct_gather_filesystem_none.so']
